model,model_key,valid_responses,source_files,trials,correct_count,correct_rate,abstained_count,abstained_rate,hallucinated_count,hallucinated_rate,wrong_document_count,wrong_document_rate
Qwen2.5-3B,qwen2.5_3b,2400,2400,3,1722,0.717500,644,0.268333,27,0.011250,7,0.002917
Qwen2.5-7B,qwen2.5_7b,2400,2400,3,1732,0.721667,654,0.272500,14,0.005833,0,0.000000
Qwen2.5-14B,qwen2.5_14b,2399,2400,3,1735,0.723218,658,0.274281,6,0.002501,0,0.000000
Mistral-7B,mistral_7b,2400,2400,3,1740,0.725000,606,0.252500,54,0.022500,0,0.000000
Llama3.1-8B,llama3.1_8b,2400,2400,3,1762,0.734167,628,0.261667,10,0.004167,0,0.000000
Gemma2-9B,gemma2_9b,2400,2400,3,1764,0.735000,633,0.263750,3,0.001250,0,0.000000
Phi3-Mini,phi3_mini,2400,2400,3,1754,0.730833,577,0.240417,69,0.028750,0,0.000000
Phi3-Medium,phi3_medium,2400,2400,3,1725,0.718750,634,0.264167,39,0.016250,2,0.000833
