model,model_key,context_length,gold_position,valid_responses,correct_count,correct_rate,abstained_count,abstained_rate,hallucinated_count,hallucinated_rate,wrong_document_count,wrong_document_rate
Mistral-7B,mistral_7b,10,middle,150,139,0.926667,11,0.073333,0,0.000000,0,0.000000
Mistral-7B,mistral_7b,10,last,150,141,0.940000,6,0.040000,3,0.020000,0,0.000000
Mistral-7B,mistral_7b,10,absent,150,1,0.006667,142,0.946667,7,0.046667,0,0.000000
Mistral-7B,mistral_7b,20,first,150,142,0.946667,6,0.040000,2,0.013333,0,0.000000
Mistral-7B,mistral_7b,20,middle,150,144,0.960000,3,0.020000,3,0.020000,0,0.000000
Mistral-7B,mistral_7b,20,last,150,144,0.960000,3,0.020000,3,0.020000,0,0.000000
Mistral-7B,mistral_7b,20,absent,150,11,0.073333,122,0.813333,17,0.113333,0,0.000000
Llama3.1-8B,llama3.1_8b,1,first,150,147,0.980000,3,0.020000,0,0.000000,0,0.000000
Llama3.1-8B,llama3.1_8b,1,middle,150,147,0.980000,3,0.020000,0,0.000000,0,0.000000
Llama3.1-8B,llama3.1_8b,1,last,150,147,0.980000,3,0.020000,0,0.000000,0,0.000000
Llama3.1-8B,llama3.1_8b,1,absent,150,3,0.020000,147,0.980000,0,0.000000,0,0.000000
Llama3.1-8B,llama3.1_8b,5,first,150,145,0.966667,5,0.033333,0,0.000000,0,0.000000
Llama3.1-8B,llama3.1_8b,5,middle,150,147,0.980000,3,0.020000,0,0.000000,0,0.000000
Llama3.1-8B,llama3.1_8b,5,last,150,146,0.973333,4,0.026667,0,0.000000,0,0.000000
Llama3.1-8B,llama3.1_8b,5,absent,150,1,0.006667,148,0.986667,1,0.006667,0,0.000000
Llama3.1-8B,llama3.1_8b,10,first,150,145,0.966667,3,0.020000,2,0.013333,0,0.000000
Llama3.1-8B,llama3.1_8b,10,middle,150,144,0.960000,3,0.020000,3,0.020000,0,0.000000
Llama3.1-8B,llama3.1_8b,10,last,150,144,0.960000,6,0.040000,0,0.000000,0,0.000000
Llama3.1-8B,llama3.1_8b,10,absent,150,0,0.000000,147,0.980000,3,0.020000,0,0.000000
Llama3.1-8B,llama3.1_8b,20,first,150,147,0.980000,3,0.020000,0,0.000000,0,0.000000
Llama3.1-8B,llama3.1_8b,20,middle,150,147,0.980000,3,0.020000,0,0.000000,0,0.000000
Llama3.1-8B,llama3.1_8b,20,last,150,145,0.966667,5,0.033333,0,0.000000,0,0.000000
Llama3.1-8B,llama3.1_8b,20,absent,150,7,0.046667,142,0.946667,1,0.006667,0,0.000000
Gemma2-9B,gemma2_9b,1,first,150,147,0.980000,3,0.020000,0,0.000000,0,0.000000
Gemma2-9B,gemma2_9b,1,middle,150,147,0.980000,3,0.020000,0,0.000000,0,0.000000
Gemma2-9B,gemma2_9b,1,last,150,147,0.980000,3,0.020000,0,0.000000,0,0.000000
Gemma2-9B,gemma2_9b,1,absent,150,0,0.000000,150,1.000000,0,0.000000,0,0.000000
Gemma2-9B,gemma2_9b,5,first,150,147,0.980000,3,0.020000,0,0.000000,0,0.000000
Gemma2-9B,gemma2_9b,5,middle,150,147,0.980000,3,0.020000,0,0.000000,0,0.000000
Gemma2-9B,gemma2_9b,5,last,150,147,0.980000,3,0.020000,0,0.000000,0,0.000000
Gemma2-9B,gemma2_9b,5,absent,150,0,0.000000,150,1.000000,0,0.000000,0,0.000000
Gemma2-9B,gemma2_9b,10,first,150,147,0.980000,3,0.020000,0,0.000000,0,0.000000
Gemma2-9B,gemma2_9b,10,middle,150,147,0.980000,3,0.020000,0,0.000000,0,0.000000
Gemma2-9B,gemma2_9b,10,last,150,147,0.980000,3,0.020000,0,0.000000,0,0.000000
Gemma2-9B,gemma2_9b,10,absent,150,0,0.000000,147,0.980000,3,0.020000,0,0.000000
Gemma2-9B,gemma2_9b,20,first,150,147,0.980000,3,0.020000,0,0.000000,0,0.000000
Gemma2-9B,gemma2_9b,20,middle,150,147,0.980000,3,0.020000,0,0.000000,0,0.000000
Gemma2-9B,gemma2_9b,20,last,150,147,0.980000,3,0.020000,0,0.000000,0,0.000000
Gemma2-9B,gemma2_9b,20,absent,150,0,0.000000,150,1.000000,0,0.000000,0,0.000000
Phi3-Mini,phi3_mini,1,first,150,145,0.966667,3,0.020000,2,0.013333,0,0.000000
Phi3-Mini,phi3_mini,1,middle,150,145,0.966667,4,0.026667,1,0.006667,0,0.000000
Phi3-Mini,phi3_mini,1,last,150,146,0.973333,3,0.020000,1,0.006667,0,0.000000
Phi3-Mini,phi3_mini,1,absent,150,4,0.026667,141,0.940000,5,0.033333,0,0.000000
Phi3-Mini,phi3_mini,5,first,150,147,0.980000,2,0.013333,1,0.006667,0,0.000000
Phi3-Mini,phi3_mini,5,middle,150,145,0.966667,4,0.026667,1,0.006667,0,0.000000
Phi3-Mini,phi3_mini,5,last,150,145,0.966667,3,0.020000,2,0.013333,0,0.000000
Phi3-Mini,phi3_mini,5,absent,150,3,0.020000,143,0.953333,4,0.026667,0,0.000000
Phi3-Mini,phi3_mini,10,first,150,139,0.926667,9,0.060000,2,0.013333,0,0.000000
Phi3-Mini,phi3_mini,10,middle,150,142,0.946667,4,0.026667,4,0.026667,0,0.000000
Phi3-Mini,phi3_mini,10,last,150,143,0.953333,4,0.026667,3,0.020000,0,0.000000
Phi3-Mini,phi3_mini,10,absent,150,4,0.026667,134,0.893333,12,0.080000,0,0.000000
Phi3-Mini,phi3_mini,20,first,150,146,0.973333,0,0.000000,4,0.026667,0,0.000000
Phi3-Mini,phi3_mini,20,middle,150,145,0.966667,1,0.006667,4,0.026667,0,0.000000
Phi3-Mini,phi3_mini,20,last,150,143,0.953333,4,0.026667,3,0.020000,0,0.000000
Phi3-Mini,phi3_mini,20,absent,150,12,0.080000,118,0.786667,20,0.133333,0,0.000000
Phi3-Medium,phi3_medium,1,first,150,141,0.940000,9,0.060000,0,0.000000,0,0.000000
Phi3-Medium,phi3_medium,1,middle,150,141,0.940000,8,0.053333,1,0.006667,0,0.000000
Phi3-Medium,phi3_medium,1,last,150,141,0.940000,8,0.053333,1,0.006667,0,0.000000
Phi3-Medium,phi3_medium,1,absent,150,3,0.020000,147,0.980000,0,0.000000,0,0.000000
Phi3-Medium,phi3_medium,5,first,150,142,0.946667,5,0.033333,3,0.020000,0,0.000000
Phi3-Medium,phi3_medium,5,middle,150,148,0.986667,2,0.013333,0,0.000000,0,0.000000
Phi3-Medium,phi3_medium,5,last,150,146,0.973333,1,0.006667,3,0.020000,0,0.000000
Phi3-Medium,phi3_medium,5,absent,150,0,0.000000,150,1.000000,0,0.000000,0,0.000000
Phi3-Medium,phi3_medium,10,first,150,141,0.940000,5,0.033333,4,0.026667,0,0.000000
Phi3-Medium,phi3_medium,10,middle,150,143,0.953333,3,0.020000,4,0.026667,0,0.000000
Phi3-Medium,phi3_medium,10,last,150,144,0.960000,4,0.026667,2,0.013333,0,0.000000
Phi3-Medium,phi3_medium,10,absent,150,1,0.006667,141,0.940000,8,0.053333,0,0.000000
Phi3-Medium,phi3_medium,20,first,150,142,0.946667,5,0.033333,3,0.020000,0,0.000000
Phi3-Medium,phi3_medium,20,middle,150,147,0.980000,1,0.006667,1,0.006667,1,0.006667
Phi3-Medium,phi3_medium,20,last,150,145,0.966667,4,0.026667,1,0.006667,0,0.000000
Phi3-Medium,phi3_medium,20,absent,150,0,0.000000,141,0.940000,8,0.053333,1,0.006667
