Model,Correct,Abstained,Hallucinated,Wrong Document
Qwen2.5-3B,71.8%,26.8%,1.1%,0.3%
Qwen2.5-7B,72.2%,27.3%,0.6%,0.0%
Qwen2.5-14B,72.2%,27.5%,0.2%,0.0%
Mistral-7B,72.5%,25.2%,2.2%,0.0%
Llama3.1-8B,73.4%,26.2%,0.4%,0.0%
Gemma2-9B,73.5%,26.4%,0.1%,0.0%
Phi3-Mini,73.1%,24.0%,2.9%,0.0%
Phi3-Medium,71.9%,26.4%,1.6%,0.1%
